column_one,column_two
"""$2N445""",U1L1
"""$2N464""",U1K1
"""$2N464""",RN5514
"""$2N501""",RN5516
"""$2N501""",U1N14
"""$2N520""",RN5515
"""$2N520""",U1N13
"""$2N539""",U1M15
"""$2N539""",RN5513
"""$2N616""",U1E2
"""$2N616""",TP1491
"""$2N616""",RN5216
"""$2N635""",U1H3
"""$2N635""",RN5215
"""$2N6448""",Q103
"""$2N6448""",R2231
"""$2N654""",U1H2
"""$2N654""",RN5214
"""$2N673""",RN5213
"""$2N673""",U1J2
"""$2N673""",TP1511
"""$2N692""",U1J3
"""$2N692""",RN5212
"""$2N711""",U1K3
"""$2N711""",RN5211
"""$2N748""",U1P6
"""$2N748""",RN5210
"""$2N767""",U1N6
"""$2N767""",RN529
"""$2N786""",RN5314
"""$2N786""",U1R7
"""$2N805""",U1P7
"""$2N805""",RN5313
"""$2N842""",U1N7
"""$2N842""",RN5316
"""$2N8535""",U1E13
"""$2N8535""",R2232
"""$2N8536""",U1D13
"""$2N8536""",R2242
"""$2N8589""",R2291
"""$2N8589""",Q102
"""$2N8594""",Q105
"""$2N8594""",R2281
"""$2N8601""",DL52
"""$2N8601""",Q106
"""$2N861""",U1M7
"""$2N861""",RN5315
"""$2N917""",U1K14
"""$2N917""",RN5416
"""$2N936""",U1K13
"""$2N936""",RN5414
"""$2N973""",U1J4
"""$2N973""",RN5410
"""$3N1188""",R2222
"""$3N1188""",P1021
"""$3N2185""",U81
"""$3N2185""",R561
"""$3N2185""",R571
"""$3N8961""",R2131
"""$3N8961""",P10210
"""$5N1204""",U1221
"""$5N1204""",L72
"""$5N1349""",U1222
"""$5N1349""",U1223
"""$5N1349""",R2182
"""$5N1349""",C821
"""$5N1349""",C661
"""$5N1501""",U134
"""$5N1501""",U135
"""$5N1503""",U1348
"""$5N1503""",U1349
"""$5N1760""",C871
"""$5N1760""",U1328
"""$5N18""",U122
"""$5N18""",R312
"""$5N19""",U124
"""$5N19""",R152
"""$5N25""",U123
"""$5N25""",R31
"""$5N2577""",C702
"""$5N2577""",U142
"""$5N2622""",U141
"""$5N2622""",C712
"""$5N2642""",U143
"""$5N2642""",C711
"""$5N2644""",C722
"""$5N2644""",U144
"""$5N2645""",C721
"""$5N2645""",U145
"""$5N2721""",C732
"""$5N2721""",U146
"""$5N30""",U1220
"""$5N30""",L81
"""$5N3193""",R2051
"""$5N3193""",U1310
"""$5N3195""",DL4A
"""$5N3195""",R2052
"""$5N33""",R322
"""$5N33""",U118
"""$5N7963""",U127
"""$5N7963""",R2061
"""$5N8032""",U121
"""$5N8032""",TP181
"""$5N8228""",U126
"""$5N8228""",TP241
"""$5N8241""",U125
"""$5N8241""",TP251
"""$5N8306""",U1214
"""$5N8306""",R141
"""$6N10327""",R2371
"""$6N10327""",R2362
"""$6N10327""",U331
"""$6N10327""",C2671
"""$6N10336""",G23
"""$6N10336""",C2672
"""$6N1051""",C1232
"""$6N1051""",U1771
"""$6N1051""",TP281
"""$6N1053""",L212
"""$6N1053""",C1881
"""$6N1053""",R1421
"""$6N1053""",C1231
"""$6N1091""",C1871
"""$6N1091""",L211
"""$6N1091""",R1742
"""$6N1122""",R132
"""$6N1122""",U1776
"""$6N1122""",TP291
"""$6N1122""",R1442
"""$6N11247""",R991
"""$6N11247""",C1162
"""$6N1205""",U1796
"""$6N1205""",C942
"""$6N1244""",C952
"""$6N1244""",U1798
"""$6N12450""",C1832
"""$6N12450""",R1371
"""$6N12488""",C1842
"""$6N12488""",R1381
"""$6N1304""",L151
"""$6N1304""",C972
"""$6N1304""",U17100
"""$6N1306""",L152
"""$6N1306""",U17102
"""$6N1306""",C982
"""$6N1349""",C1001
"""$6N1349""",L122
"""$6N1349""",C971
"""$6N1388""",C1012
"""$6N1388""",L142
"""$6N1388""",C981
"""$6N1661""",R1401
"""$6N1661""",U1757
"""$6N1661""",C1021
"""$6N1760""",C1031
"""$6N1760""",U1787
"""$6N1760""",R1731
"""$6N1915""",R1091
"""$6N1915""",U1768
"""$6N1915""",TP331
"""$6N2134""",TP351
"""$6N2134""",R1181
"""$6N2134""",U17115
"""$6N2134""",C1181
"""$6N2136""",C1171
"""$6N2136""",U17116
"""$6N2136""",R1192
"""$6N2136""",TP361
"""$6N2139""",R1011
"""$6N2139""",C1182
"""$6N2141""",R1121
"""$6N2141""",C1241
"""$6N2141""",C1281
"""$6N2141""",R1012
"""$6N2143""",R1021
"""$6N2143""",C1172
"""$6N2211""",R1022
"""$6N2211""",R1131
"""$6N2211""",C1252
"""$6N2211""",C1282
"""$6N2468""",R1122
"""$6N2468""",TP391
"""$6N2468""",R1332
"""$6N2468""",U162
"""$6N2470""",R1272
"""$6N2470""",R1132
"""$6N2470""",TP401
"""$6N2470""",U163
"""$6N2470""",R1261
"""$6N2483""",C1211
"""$6N2483""",R1331
"""$6N2483""",U161
"""$6N2504""",TP411
"""$6N2504""",C1212
"""$6N2504""",R1281
"""$6N2506""",R1282
"""$6N2506""",C1521
"""$6N2506""",R1301
"""$6N2529""",R1201
"""$6N2529""",C1191
"""$6N2529""",TP381
"""$6N2529""",U17114
"""$6N2530""",C1192
"""$6N2530""",R1031
